1514764800,"(13799.99999984, 13483.91342101, 13600.0, 2036138.9845366)"
1514766600,"(13700.0, 13536.06325647, 13563.42559841, 2019439.8679023)"
1514768400,"(13700.0, 13483.91342107, 13600.0, 1649584.2765076)"
1514770200,"(13619.89999953, 13210.99999982, 13266.72000005, 1628182.2149929)"
1514772000,"(13444.0, 13255.98882504, 13307.94014966, 1063080.5229984)"
1514773800,"(13377.5, 13228.43982279, 13304.87230192, 711326.21786397)"
1514775600,"(13628.7995799, 13218.01287368, 13563.87273861, 2482121.9813595)"
1514777400,"(13591.43815188, 13309.17946355, 13369.40498774, 1698067.002661)"
1514779200,"(13464.40774962, 13229.86326373, 13448.40891972, 2148587.6084102)"
1514781000,"(13574.0, 13383.55531785, 13520.12325184, 1465033.6101311)"
1514782800,"(13590.00000034, 13460.99999989, 13540.0, 1283275.2079738)"
1514784600,"(13591.43815183, 13460.9999999, 13537.04414313, 692484.39528682)"
1514786400,"(13700.0, 13412.79211077, 13678.00972938, 1344717.3564236)"
1514788200,"(13820.0, 13618.70418701, 13806.65726879, 1941986.8637406)"
1514790000,"(13891.99999996, 13678.00000004, 13760.00000031, 1333159.0308309)"
1514791800,"(13851.87219394, 13607.00000001, 13621.87701406, 842292.86774535)"
1514793600,"(13760.00000008, 13562.234027, 13680.43010144, 1078689.0492597)"
1514795400,"(13687.97408793, 13390.92993593, 13450.0, 1847287.5163933)"
1514797200,"(13588.18675244, 13444.38418817, 13478.92815333, 831795.11367877)"
1514799000,"(13600.92815337, 13451.21708733, 13570.97169782, 941850.73836878)"
1514800800,"(13599.99999994, 13440.0, 13537.25827157, 831909.88689945)"
1514802600,"(13589.17550427, 13476.4333926, 13577.73214062, 961881.39798572)"
1514804400,"(13577.73214038, 13100.0, 13100.0, 2503966.5447775)"
1514806200,"(13244.0, 13036.92815333, 13233.20361876, 2249221.5704536)"
1514808000,"(13281.99999997, 13043.22658396, 13099.26972528, 1428476.4448537)"
1514809800,"(13200.0, 13100.0, 13146.29122146, 2604501.9888734)"
1514811600,"(13155.99999999, 12893.56965857, 13010.40346213, 2123768.4898612)"
1514813400,"(13119.47792946, 12927.34840751, 12994.93297495, 1466819.4027336)"
1514815200,"(13023.27601805, 12800.0, 12908.42418696, 2277335.223604)"
1514817000,"(13200.2067148, 12850.0, 13157.87532278, 2002566.5900108)"
1514818800,"(13300.0, 13037.82087199, 13290.00000007, 2429692.0110611)"
1514820600,"(13300.0, 13155.00000017, 13217.0, 1019091.6329975)"
1514822400,"(13216.99999984, 12970.67639829, 13006.00000003, 1826189.6944595)"
1514824200,"(13153.5, 12951.00000003, 12963.88141685, 1507937.5529448)"
1514826000,"(13156.0, 12999.99999992, 13130.0, 1137119.0166462)"
1514827800,"(13163.99036501, 13010.0, 13010.0, 967636.35885654)"
1514829600,"(13233.00529615, 12998.46789276, 13217.31597913, 1230781.3058757)"
1514831400,"(13217.3159791, 13053.36491164, 13131.64205179, 948980.43842143)"
1514833200,"(13239.73969824, 12950.85575403, 13219.85902167, 2567197.9998577)"
1514835000,"(13274.06313447, 13089.0, 13220.90766079, 1881797.1227076)"
1514836800,"(13482.0, 13208.67000001, 13365.00000016, 2076490.8793683)"
1514838600,"(13500.0, 13330.00000001, 13369.99999995, 2572620.5539183)"
1514840400,"(13619.50208562, 13360.00000004, 13599.99960781, 2215857.4539313)"
1514842200,"(13630.00000003, 13500.0, 13501.13121021, 2597518.4817988)"
1514844000,"(13629.99606984, 13500.0, 13518.00000005, 1094537.0415652)"
1514845800,"(13600.0, 13500.0, 13500.0, 1732360.6244203)"
1514847600,"(13518.50826584, 13365.2785525, 13464.76764881, 1669775.2948965)"
1514849400,"(13491.63096701, 13250.23912591, 13351.7394064, 1867931.647874)"
1514851200,"(13743.93054829, 13365.71449731, 13743.93054821, 1632562.1641018)"
1514853000,"(13923.8701209, 13734.58688101, 13811.0, 2572596.2250753)"
1514854800,"(13899.28188816, 13700.28098989, 13780.83809907, 2467352.4399278)"
1514856600,"(13773.10999967, 13600.0, 13617.00000003, 1496567.8161256)"
1514858400,"(13650.0, 13437.66381342, 13484.58635746, 2060304.514016)"
1514860200,"(13602.26685828, 13431.00000004, 13570.93890573, 1305221.2772037)"
1514862000,"(13570.9389057, 13214.70198015, 13351.57366643, 1876047.7627093)"
1514863800,"(13450.97969995, 13306.97969993, 13335.44332961, 1058080.978139)"
1514865600,"(13384.99999996, 12918.92797428, 13000.0, 4118061.8200429)"
1514867400,"(13162.30825273, 12875.0, 13074.99999976, 2209752.6734266)"
1514869200,"(13172.2999997, 13051.94747091, 13158.28763677, 771895.06880582)"
1514871000,"(13170.19175679, 13049.88052906, 13079.16846938, 972368.2647589)"
1514872800,"(13199.98999999, 13007.73924439, 13175.0, 1011674.1186098)"
1514874600,"(13322.72846241, 13170.00000014, 13271.8852675, 720259.4662657)"
1514876400,"(13299.34938396, 13160.04194658, 13245.0, 796670.49187881)"
1514878200,"(13374.0, 13216.7294225, 13350.7, 776775.36887943)"
1514880000,"(13450.0, 13325.19877047, 13394.46384557, 1284073.9193158)"
1514881800,"(13437.51999996, 13353.99058101, 13405.71909232, 1646171.5120164)"
1514883600,"(13550.71909264, 13356.000001, 13500.0, 1498738.4044004)"
1514885400,"(13532.29104962, 13429.17283895, 13497.99999992, 1121691.2626072)"
1514887200,"(13633.42114636, 13471.1951197, 13590.0, 1010401.0297599)"
1514889000,"(13700.33815717, 13574.77766099, 13654.41000004, 1958630.1754608)"
1514890800,"(13654.41000004, 13477.0, 13510.00000009, 1377712.7358566)"
