round_epochs,val_loss,loss,epochs,batch_size
25,0.001093732733547485,0.001144727211860901,25,50
50,0.0011102437218624868,0.0012769635803470247,50,8
25,0.001091075234383471,0.001218831274775315,25,16
50,0.0010907568217476825,0.0011567098688332253,50,50
50,0.0010902412642861616,0.001206146971203608,50,16
