1515040200: SHORT 0.00 1.13 LONG:0.00 SHORT:1.00
1515042000: SHORT 0.00 1.13 LONG:0.00 SHORT:1.00
1515043800: SHORT 0.00 1.12 LONG:0.00 SHORT:1.00
1515045600: SHORT 0.00 1.13 LONG:0.00 SHORT:1.00
1515047400: SHORT 0.00 1.14 LONG:0.00 SHORT:1.00
1515049200: SHORT 0.00 1.13 LONG:0.00 SHORT:1.00
1515051000: SHORT 0.00 1.13 LONG:0.00 SHORT:1.00
1515052800: SHORT 0.00 1.12 LONG:0.00 SHORT:1.00
1515054600: SHORT 0.00 1.11 LONG:0.00 SHORT:1.00
1515056400: SHORT 0.00 1.09 LONG:0.00 SHORT:1.00
1515058200: SHORT 0.00 1.10 LONG:0.00 SHORT:1.00
1515060000: SHORT 0.00 1.10 LONG:0.00 SHORT:1.00
1515061800: SHORT 0.00 1.10 LONG:0.00 SHORT:1.00
1515063600: SHORT 0.00 1.09 LONG:0.00 SHORT:1.00
1515065400: SHORT 0.00 1.10 LONG:0.00 SHORT:1.00
1515067200: SHORT 0.00 1.10 LONG:0.00 SHORT:1.00
1515069000: SHORT 0.00 1.09 LONG:0.00 SHORT:1.00
1515070800: SHORT 0.00 1.09 LONG:0.00 SHORT:1.00
1515072600: SHORT 0.00 1.11 LONG:0.00 SHORT:1.00
1515074400: SHORT 0.00 1.10 LONG:0.00 SHORT:1.00
1515076200: SHORT 0.00 1.10 LONG:0.00 SHORT:1.00
1515078000: SHORT 0.00 1.11 LONG:0.00 SHORT:1.00
1515079800: SHORT 0.00 1.09 LONG:0.00 SHORT:1.00
1515081600: SHORT 0.00 1.10 LONG:0.00 SHORT:1.00
1515083400: SHORT 0.00 1.10 LONG:0.00 SHORT:1.00
1515085200: SHORT 0.00 1.10 LONG:0.00 SHORT:1.00
1515087000: SHORT 0.00 1.12 LONG:0.00 SHORT:1.00
1515088800: SHORT 0.00 1.12 LONG:0.00 SHORT:1.00
1515090600: SHORT 0.00 1.13 LONG:0.00 SHORT:1.00
1515092400: SHORT 0.00 1.12 LONG:0.00 SHORT:1.00
1515094200: SHORT 0.00 1.13 LONG:0.00 SHORT:1.00
1515096000: SHORT 0.00 1.14 LONG:0.00 SHORT:1.00
1515097800: SHORT 0.00 1.15 LONG:0.00 SHORT:1.00
1515099600: SHORT 0.00 1.13 LONG:0.00 SHORT:1.00
1515101400: SHORT 0.00 1.14 LONG:0.00 SHORT:1.00
1515103200: SHORT 0.00 1.13 LONG:0.00 SHORT:1.00
1515105000: SHORT 0.00 1.13 LONG:0.00 SHORT:1.00
1515106800: SHORT 0.00 1.14 LONG:0.00 SHORT:1.00
1515108600: SHORT 0.00 1.14 LONG:0.00 SHORT:1.00
1515110400: SHORT 0.00 1.15 LONG:0.00 SHORT:1.00
1515112200: SHORT 0.00 1.14 LONG:0.00 SHORT:1.00
1515114000: SHORT 0.00 1.14 LONG:0.00 SHORT:1.00
1515115800: SHORT 0.00 1.14 LONG:0.00 SHORT:1.00
1515117600: SHORT 0.00 1.14 LONG:0.00 SHORT:1.00
1515119400: SHORT 0.00 1.15 LONG:0.00 SHORT:1.00
1515121200: SHORT 0.00 1.15 LONG:0.00 SHORT:1.00
1515123000: SHORT 0.00 1.13 LONG:0.00 SHORT:1.00
1515124800: SHORT 0.00 1.13 LONG:0.00 SHORT:1.00
1515126600: SHORT 0.00 1.12 LONG:0.00 SHORT:1.00
1515128400: SHORT 0.00 1.13 LONG:0.00 SHORT:1.00
1515130200: SHORT 0.00 1.13 LONG:0.00 SHORT:1.00
1515132000: SHORT 0.00 1.14 LONG:0.00 SHORT:1.00
1515133800: SHORT 0.00 1.14 LONG:0.00 SHORT:1.00
1515135600: SHORT 0.00 1.14 LONG:0.00 SHORT:1.00
1515137400: SHORT 0.00 1.13 LONG:0.00 SHORT:1.00
1515139200: SHORT 0.00 1.13 LONG:0.00 SHORT:1.00
1515141000: SHORT 0.00 1.15 LONG:0.00 SHORT:1.00
