1514766600,"(0.010069314761162563, -0.0020173621878536918, -0.002689294234558822, -0.008201363836712989)"
1514768400,"(0.007352941176470588, -0.00853577786250004, 0.0026965460402781647, -0.18314761299572085)"
1514770200,"(0.02662150097979525, -0.004199983132966524, -0.024505882349264724, -0.012974215273202782)"
1514772000,"(0.010223960192928568, -0.0039037840594231756, 0.0031070339624146162, -0.3470752147952704)"
1514773800,"(0.005458729436247098, -0.0057446984379527395, -0.00023052761776044548, -0.3308820898555391)"
1514775600,"(0.004786748043218051, -0.02549860733693696, 0.019466585684751254, 2.48942850554985)"
1514777400,"(0.016607557654481214, -0.004504727341660169, -0.014337184859928824, -0.3158809214803617)"
1514779200,"(0.0011896448119257971, -0.01625067004540115, 0.005909308009776647, 0.265313798008677)"
1514781000,"(0.003984930252220034, -0.010101086465422111, 0.005332551422855845, -0.3181410874769406)"
1514782800,"(0.0036927622112260003, -0.005834564262186096, 0.001470160278109567, -0.12406432241580813)"
1514784600,"(0.0040181599561085815, -0.0056174850599562684, -0.00021830552954205904, -0.4603773290530536)"
1514786400,"(0.0016077098243880191, -0.019390073838032162, 0.010413321014509645, 0.9418738755356817)"
1514788200,"(0.0009663983794368983, -0.013613221370017574, 0.009405428271751285, 0.44415988569188486)"
1514790000,"(0.009593023230161856, -0.005959302345069222, -0.0033793312582235343, -0.3135076988816459)"
1514791800,"(0.016884250213286083, -0.0010921412691249938, -0.010038007721430727, -0.36819775565681345)"
1514793600,"(0.0058163301921057954, -0.008639792284568524, 0.004298459552935584, 0.2806579404466947)"
1514795400,"(0.017693240738290015, -0.004391826324907042, -0.01684377608974046, 0.7125301472756082)"
1514797200,"(0.008105881852557234, -0.0025628124704757563, 0.0021507920691449804, -0.5497208169831668)"
1514799000,"(0.0022073920878349644, -0.008824320996059284, 0.0068286990955775595, 0.13231097764360303)"
1514800800,"(0.004634744134398861, -0.007184488145155221, -0.002484230827437063, -0.11672852925691807)"
1514802600,"(0.000842803756288955, -0.007460652999402538, 0.002989812873335072, 0.15623267992483802)"
1514804400,"(0.03646810231908395, 0.0, -0.03518497313633012, 1.603196766276037)"
1514806200,"(0.0008158554459703123, -0.014832044536196168, 0.01016821517251913, -0.10173657266117202)"
1514808000,"(0.01394965357017967, -0.0042783408919234555, -0.010121048337088153, -0.3649018559938408)"
1514809800,"(0.004085470010912715, -0.0035212380952305633, 0.0035896272972571535, 0.8232726190596336)"
1514811600,"(0.011190778078773207, -0.008980029243525981, -0.010336585204211605, -0.18457789668271485)"
1514813400,"(0.009584116728426545, -0.005200840017434481, -0.001189085889998039, -0.3093317799298055)"
1514815200,"(0.008897432360955743, -0.008399490548933812, -0.006657116905239987, 0.5525668799852956)"
1514817000,"(0.003217190540383996, -0.02339855905512203, 0.019324677606426616, -0.12065357385478136)"
1514818800,"(0.0007524454424339472, -0.018975103692902368, 0.010041490289944784, 0.21328899781954136)"
1514820600,"(0.006279791178028297, -0.004690928336990307, -0.005492851773485002, -0.5805675664412955)"
1514822400,"(0.016223281547709717, -0.0027159466200153653, -0.015964288414163533, 0.7919779098647354)"
1514824200,"(0.014626682939535457, -0.0009936388960836962, -0.0032383963693606082, -0.1742711299271096)"
1514826000,"(0.0019801980198019802, -0.009900990105102753, 0.012813954232417268, -0.24591106944345334)"
1514827800,"(0.011836307840891657, 0.0, -0.00913937547600914, -0.14904566303844727)"
1514829600,"(0.0011870274603991728, -0.01655767984328735, 0.01593512522136821, 0.2719461134450543)"
1514831400,"(0.006524235657057138, -0.005960955974986477, -0.006481945916650406, -0.2289609584651344)"
1514833200,"(0.001503849363099304, -0.020348421809873195, 0.006717893278851132, 1.705216984375436)"
1514835000,"(0.004020561601655021, -0.009977201579072113, 7.93230183682117e-05, -0.266984033638267)"
1514836800,"(0.008754208742132376, -0.011696969708052955, 0.01089882352006303, 0.1034616082208519)"
1514838600,"(0.009723261035937663, -0.0029917726208039197, 0.0003741114695053973, 0.2389269702455569)"
1514840400,"(0.0014340057626767762, -0.01764703049198446, 0.017202663265584135, -0.13867692203718981)"
1514842200,"(0.009545036472391714, -8.37863281518666e-05, -0.007269735327288, 0.17224078525013872)"
