timestamp,open_price,high_price,low_price,close_price,bid_volumn,ask_volumn
2019-03-01 00:00:03,423406,423810,423406,423598,944.401,1124.15
2019-03-01 01:00:03,423598,425102,423426,425000,667.806,707.779
2019-03-01 02:00:03,425000,425000,424366,424492,1555.23,1730.91
2019-03-01 03:00:03,424492,425750,424492,424952,746.15,713.47
2019-03-01 04:00:03,424952,424952,424232,424232,1184.6,2727.19
2019-03-01 05:00:03,424232,424649,424232,424518,2726.23,925.004
2019-03-01 06:00:03,424518,424972,424518,424938,2992.7,1116.56
2019-03-01 07:00:03,424938,425250,424762,425250,1718.95,1100.44
2019-03-01 08:00:03,425556,426074,425556,426072,1751.71,1173.49
2019-03-01 09:00:03,426072,427752,426072,426986,717.833,846.433
2019-03-01 10:00:03,426986,426986,426008,426854,588.94,940.783
2019-03-01 11:00:03,426854,426854,425586,425866,417.865,740.868
2019-03-01 12:00:03,425866,426069,425712,425836,769.702,624.684
2019-03-01 13:00:03,425836,426996,425834,426996,674.571,573.09
2019-03-01 14:00:03,426996,427182,426602,427182,317.595,962.156
2019-03-01 15:00:03,427182,427182,426116,426409,305.859,431.894
2019-03-01 16:00:03,426408,428522,426400,427670,578.246,835.707
2019-03-01 17:00:03,427670,428998,427670,428602,1363.79,865.846
2019-03-01 18:00:03,428602,428602,428002,428228,510.338,955.135
2019-03-01 19:00:03,428228,428644,428228,428368,1134.55,838.328
2019-03-01 20:00:03,428368,428428,428110,428168,1816.48,398.847
2019-03-01 21:00:03,428168,428396,428156,428396,1802.6,97.0143
2019-03-01 22:00:03,428396,428990,425404,426316,1099.82,785.782
2019-03-01 23:00:03,426316,426376,425610,425610,426.017,471.345
2019-03-02 00:00:03,425584,426000,425380,425890,2316.77,665.339
2019-03-02 01:00:03,425890,426420,425852,426420,2085.91,186.807
2019-03-02 02:00:03,426420,426682,426420,426682,1349.66,1119.11
2019-03-02 03:00:03,426682,426798,426682,426798,1390.44,491.592
2019-03-02 04:00:03,426798,426798,424214,425167,445.285,1574.23
2019-03-02 05:00:03,425167,425718,425054,425146,1286.68,671.305
2019-03-02 06:00:03,425146,425582,425146,425148,399.323,562.486
2019-03-02 07:00:03,425148,425148,424020,424042,1896.01,1026.67
2019-03-02 08:00:03,424042,424694,422104,424694,949.218,530.908
2019-03-02 09:00:03,424694,424694,424694,424694,2447.12,605.251
2019-03-02 10:00:03,424694,425330,424596,425330,742.58,1035.8
2019-03-02 11:00:03,425330,426498,425330,426492,1728.84,384.308
2019-03-02 12:00:03,426492,426658,425752,426658,589.844,736.021
2019-03-02 13:00:03,426658,426698,426600,426600,941.011,583.525
2019-03-02 14:00:03,426600,426600,425890,425890,410.469,746.401
2019-03-02 15:00:03,425890,425890,425036,425036,516.837,1574.68
2019-03-02 16:00:03,425036,425500,424068,425498,2057.16,272.619
2019-03-02 17:00:03,425382,425382,424296,424336,638.728,1173.45
2019-03-02 18:00:03,424336,425494,424336,425494,2422.77,206.454
2019-03-02 19:00:03,425494,425536,425494,425536,2198.13,919.896
2019-03-02 20:00:03,425536,425672,425536,425540,1752.33,1033.97
2019-03-02 21:00:03,425540,425998,425500,425998,1210.42,160.458
2019-03-02 22:00:03,425998,426000,425998,426000,2795.98,733.207
2019-03-02 23:00:03,426000,426316,426000,426316,2052.88,273.124
2019-03-03 00:00:03,426316,426412,426052,426052,1691.46,415.159
2019-03-03 01:00:03,426052,426794,426052,426536,2147.63,209.108
2019-03-03 02:00:03,426536,426794,426300,426300,662.916,1416.11
2019-03-03 03:00:03,426300,426450,426300,426302,866.078,279.809
2019-03-03 04:00:03,426302,426600,426302,426600,1133.15,558.883
2019-03-03 05:00:03,426600,426600,426250,426250,482.257,1248.81
2019-03-03 06:00:03,426250,426400,426250,426250,2097.81,382.314
2019-03-03 07:00:03,426250,426250,426164,426168,990.567,260.023
2019-03-03 08:00:03,426168,426300,425600,425781,1145.56,812.892
2019-03-03 09:00:03,425781,426238,425774,426238,805.886,195.431
2019-03-03 10:00:03,426238,426240,426238,426240,1079.68,499.883
2019-03-03 11:00:03,426240,426600,426240,426600,1483.3,494.614
2019-03-03 12:00:03,426600,426600,425956,426124,661.131,785.767
2019-03-03 13:00:03,426124,426124,423774,426012,467.995,1778.31
2019-03-03 14:00:03,426012,426178,425052,425084,1094.35,5023.81
2019-03-03 15:00:03,425084,425084,422838,422962,966.26,2333.49
2019-03-03 16:00:03,422962,424772,422500,423864,1047.97,1465.57
2019-03-03 17:00:03,423864,424040,423644,424040,1593.05,504.164
2019-03-03 18:00:03,424040,424200,423800,424200,2160.72,486.767
2019-03-03 19:00:03,424200,424200,424056,424056,1863.76,360.434
2019-03-03 20:00:03,424056,424386,424056,424386,2342.9,22.32
2019-03-03 21:00:03,424386,424386,424260,424260,308.276,160.078
2019-03-03 22:00:03,424260,424352,422964,422966,336.207,1104.81
2019-03-03 23:00:03,422966,423866,422500,423572,1010.37,652.698
2019-03-04 00:00:03,423572,425556,423572,425432,1484.18,774.74
2019-03-04 01:00:03,425432,425790,425208,425688,1968.41,206.303
2019-03-04 02:00:03,425688,425688,424588,424588,178.642,463.337
2019-03-04 03:00:03,424588,424588,422708,423392,1404.74,457.685
